"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
167	"France"	250	70.17	72.61	74.21	75.18	76.29	77.78	78.9	80.28	81.48	82.33	83.2	84.32	84.9	85.46	86.01	86.56	87.09	87.61	88.13	88.65	89.16	89.66	90.17	90.67	91.16	91.66	92.15	92.64	93.13	93.62
168	"Germany"	276	69.6	71.5	72.9	73.6	73.8	75.5	76.8	78.15	79.13	80.35	81.47	82.39	82.99	83.61	84.21	84.79	85.35	85.91	86.45	86.98	87.51	88.03	88.55	89.06	89.56	90.07	90.57	91.06	91.56	92.05
169	"Luxembourg"	442	68.9	70.6	72.27	73	73.68	75.03	76.11	77.85	78.8	79.94	81.13	81.98	82.67	83.31	83.92	84.52	85.11	85.67	86.23	86.77	87.3	87.83	88.35	88.86	89.37	89.86	90.36	90.85	91.35	91.83
170	"Netherlands"	528	73.24	74.68	75.81	76.35	77.11	78.44	79.45	79.92	80.19	80.49	80.97	82.19	82.79	83.32	83.84	84.38	84.96	85.52	86.07	86.61	87.14	87.66	88.18	88.7	89.21	89.71	90.21	90.71	91.21	91.71
171	"Switzerland"	756	71.63	73.23	74.43	75.44	76.77	78.45	79.4	80.56	81.28	82.13	83.25	84.12	84.71	85.28	85.83	86.37	86.91	87.44	87.96	88.48	88.99	89.49	90	90.5	91	91.49	91.99	92.48	92.97	93.46
172	"Latin America and the Caribbean"	904	53.06699701	56.18384931	58.85182071	60.95434517	63.32879245	65.75139692	68.41818756	70.45149632	72.31357954	73.99266055	75.44037684	76.65886535	77.82186565	78.72133022	79.51890993	80.25732445	80.94956518	81.5849435	82.16889128	82.71659644	83.24206855	83.74189472	84.22617052	84.6927235	85.14186906	85.58900685	86.03198214	86.4520588	86.85822696	87.27319413
173	"Caribbean"	915	53.57325655	56.85898031	60.01492157	62.6918128	64.76322741	66.2442063	67.53350982	68.96254024	70.19970822	71.52739597	72.58431682	74.00506266	75.08963961	76.06825881	76.9555224	77.86035849	78.65253912	79.38358898	80.04429024	80.63122088	81.16998634	81.64666332	82.09317203	82.54553627	83.00022863	83.45598984	83.89527738	84.33370037	84.77350535	85.20006588
174	"Aruba"	533	61.6	65.6	68.3	70	72.6	74.3	75.2	75.8	76	76.2	76.39	77.09	77.75	78.36	78.94	79.58	80.27	80.91	81.52	82.11	82.66	83.2	83.71	84.22	84.7	85.18	85.64	86.1	86.55	86.99
175	"Bahamas"	44	61.17	63.76	67.29	68.61	69.94	71.08	72.4	73.12	72.63	73.87	75.24	77.83	78.85	80.52	81.41	82.04	82.12	82.61	83.49	84.04	84.8	85.51	86.04	86.56	87.01	87.58	88.06	88.66	89.14	89.6
176	"Barbados"	52	59.5	65	68.3	70.1	72	73.9	75.18	76.53	77.47	78.14	78.9	79.5	80.26	80.91	81.52	82.1	82.66	83.19	83.71	84.21	84.7	85.17	85.64	86.1	86.54	86.99	87.42	87.85	88.27	88.69
177	"Cuba"	192	61.09	63.95	66.89	70.04	72.49	74.56	75.63	76.28	76.47	77.93	78.77	80.52	81.33	82.14	82.79	83.43	84.03	84.57	85.04	85.51	85.97	86.42	86.86	87.29	87.72	88.15	88.56	88.98	89.39	89.8
178	"Dominican Republic"	214	47.28	51.35	55.13	58.55	61.63	63.96	65.96	68.78	71.49	72.67	74	75.44	76.57	77.36	78.1	78.87	79.42	80.02	80.68	81.3	81.89	82.47	83.01	83.53	84.04	84.53	84.98	85.45	85.92	86.36
179	"Grenada"	308	65.28	65.64	66	66.36	66.72	67.07	67.43	68.87	72.49	73.93	75.66	76.79	77.72	78.55	79.32	80.03	80.69	81.31	81.9	82.47	83.01	83.53	84.04	84.53	85.01	85.48	85.94	86.39	86.83	87.27
180	"Guadeloupe"	312	55.26	59.5	63.21	66.48	69.36	71.92	74.21	76.28	78.15	79.86	81.43	82.88	83.58	84.09	84.57	85.05	85.53	85.99	86.44	86.88	87.31	87.74	88.16	88.58	89	89.42	89.82	90.23	90.62	91.02
181	"Haiti"	332	38.86	42	44.88	47.52	49.29	51.39	53.39	55.3	57.43	59.25	60.25	62.02	63.87	65.42	66.91	68.44	69.95	71.29	72.45	73.49	74.42	75.27	76.05	76.79	77.47	78.13	78.75	79.36	79.95	80.49
182	"Jamaica"	388	60.14	64.42	67.45	69.25	70.62	71.69	72.84	73.06	73.04	73.22	73.85	74.97	75.98	76.64	77.17	77.62	78.09	78.69	79.3	79.94	80.59	81.2	81.83	82.47	83.09	83.67	84.26	84.81	85.38	85.94
183	"Martinique"	474	57.1	60.26	63.18	65.93	68.97	71.71	74.2	76.45	78.51	80.4	82.13	83.16	83.68	84.18	84.66	85.14	85.6	86.06	86.51	86.94	87.38	87.8	88.23	88.65	89.06	89.47	89.88	90.28	90.68	91.09
184	"Netherlands Antilles"	530	61.8	65.77	68.14	70	72.85	74.76	76.39	77.37	77.47	77.8	78.57	79.36	79.86	80.36	80.86	81.32	81.77	82.2	82.61	83.02	83.42	83.81	84.19	84.56	84.9	85.26	85.62	85.97	86.31	86.65
185	"Puerto Rico"	630	65.98	70.69	72.29	74.01	75.93	76.99	77.45	78.83	79.12	79.58	81.96	82.67	83.2	83.74	84.24	84.72	85.19	85.66	86.12	86.56	87	87.42	87.85	88.28	88.7	89.12	89.51	89.92	90.33	90.74
186	"Saint Lucia"	662	56.78	58.81	61.37	64.65	67.47	70.2	73.25	72.72	73.53	73.05	73.92	76.58	77.54	78.37	79.14	79.86	80.55	81.16	81.77	82.33	82.89	83.42	83.91	84.42	84.9	85.37	85.81	86.26	86.71	87.15
187	"St. Vincent and the Grenadines"	670	52.25	53.37	57.63	60.84	62.95	66.04	68.72	71.02	72.48	73.02	72.8	73.8	74.73	75.56	76.33	77.04	77.7	78.31	78.89	79.44	79.96	80.46	80.93	81.39	81.84	82.27	82.68	83.09	83.49	83.87
188	"Trinidad and Tobago"	780	59.87	63.47	67.05	67.55	68.26	69.37	71.17	72.45	72.91	72.71	71.97	72.9	73.82	74.86	75.82	76.81	77.34	77.99	78.59	79.16	79.99	80.5	80.97	81.41	81.86	82.29	82.7	83.11	83.51	83.88
189	"United States Virgin Islands"	850	60.68	64.6	66.97	69.38	71.91	74	75.57	77.8	79.5	80.6	81.27	82.01	82.56	83.1	83.62	84.13	84.62	85.09	85.56	86.02	86.47	86.91	87.34	87.78	88.2	88.62	89.04	89.45	89.86	90.27
190	"Central America"	916	50.83380076	55.09815493	58.47435658	60.75474468	63.58022845	66.76218339	69.33010678	71.57197625	73.55175997	75.19098281	76.59052109	77.84154652	78.87632191	79.70223928	80.46234972	81.1560512	81.80954658	82.39487099	82.93030379	83.43935862	83.939728	84.41745533	84.88798099	85.34953934	85.8031178	86.24826126	86.68531527	87.10036758	87.52199975	87.93731817
191	"Belize"	84	58.27	60.77	63.26	65.76	68.26	70.47	72.29	73.62	74.89	75.38	75.45	76.8	77.81	79.03	79.77	80.37	80.65	80.88	81.26	81.75	82.25	82.68	83.19	83.74	84.17	84.46	84.76	85.11	85.43	85.72
