"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
22	"Rwanda"	646	41.58	43.1	44.61	45.72	46.23	46.63	48	46.29	25.6	40.64	47.65	51.64
23	"Somalia"	706	34.5	36.53	38.56	40.58	42.6	43.61	45.6	47.6	44.9	48.5	51	51.03
24	"Uganda"	800	41.59	44.18	46.97	49.63	52.59	51.77	51.45	51.34	48.09	46.26	48.51	52.95
25	"United Republic of Tanzania"	834	42.91	44.67	45.97	47.47	49.34	51.31	52.27	53.11	52.15	51.5	52.88	56.17
26	"Zambia"	894	43.57	45.67	47.56	49.36	51.78	53.34	53.59	53.51	51.3	45.38	42.33	45.6
27	"Zimbabwe"	716	50.04	52.12	54.02	55.71	57.41	59.34	62.13	64.05	62.5	51.4	42.89	44.29
28	"Middle Africa"	911	38.52	40.33	42.1	43.89	45.87	47.5	49.46	50.29	50.42	48.6	49.38	49.64
29	"Angola"	24	31.48	33.49	35.52	37.54	39.56	41.59	42.52	43.28	44.27	44.89	46.28	48.84
30	"Cameroon"	120	39.87	41.77	43.98	46.14	48.41	50.74	54.29	56.62	56.07	53.79	51.52	51.52
31	"Central African Republic"	140	34.91	37.06	39.21	41.91	45.85	49.21	51.66	51.96	51.46	49.73	47.79	48.42
32	"Chad"	148	40.04	41.82	43.67	45.57	47.56	49.17	51.24	52.83	52.85	51.74	50.12	49.98
33	"Congo"	178	43.83	47.78	51.29	54.48	57.54	60.17	61.89	61.88	59.94	56.07	54.51	54.53
34	"Democratic Republic of the Congo"	180	40.62	42.15	43.43	44.63	46.12	47.1	48.87	49.28	49.45	47.11	49.3	49.04
35	"Equatorial Guinea"	226	36.01	37.53	39.03	40.55	42.08	43.58	45.29	47.29	49.27	50.3	50.2	51.27
36	"Gabon"	266	38.57	40.59	42.09	46.21	50.31	53.98	58.07	61.9	63.18	63.01	61.1	61.7
37	"Sao Tome and Principe"	678	48	50.5	53.5	56	58	60	61.7	63.1	64.1	64.9	66.1	67.39
38	"Northern Africa"	912	43.77	45.9	48.05	50.45	52.99	56.01	59.19	62.19	64.56	66.83	68.51	69.8
39	"Algeria"	12	44.2	46.8	49.4	52.5	55.5	59	62.6	67.1	69.1	70.4	72.22	73.71
40	"Egypt"	818	43.7	45.8	47.9	50.2	52.7	56.1	59.5	62.9	65.6	68.8	70.7	71.82
